Zamówienie LUTY 2015	Imię i nazwisko		UWAGA - proszę uzupełniać TYLKO  kolumnę "C" !!!!!		
Termin składania zamówień i PRZELEWÓW - do 2 lutego do godz 19:00	adres e-mail				
Odbiory w Łomiankach ok 18/19 lutego (środa/czwartek)	tel komórkowy				
SYCYLIA owoce i warzywa (min 1 karton)	Cena PRZED rabatem	SZT kartonów	642zł	<- szacowana kwota DO PRZELEWU	Kwota wyliczona PRZED zniżkami na CUBOTTO z owocami i warzywami
Cubotto pomarańcz Tarocco BIO 11,5kg	123zł		0zł		
Cubotto pomarańcz Moro BIO 12kg	133zł		0zł	UWAGA - najciekawsze nowości i produkty, ktore w degustacji bardzo smakowały zaznaczyłam BOLD	
Cubotto małych Moro na SOK BIO 12kg	110zł		0zł		
Cubotto gorzkiej pomarańczy BIO 10kg	149zł		0zł		
Cubotto mandarynek Ciaculli BIO 12kg	162zł		0zł		
Cubotto AvoLiTar BIO 11,5kg (2kg awokado Hass, 2kg cytryn, 7,5kg Tarocco)	149zł		0zł		
Cubotto mix cytryny-Tarocco BIO (2+9,5) 11,5kg	128zł		0zł		
Cubotto Moro+Tarocco (siatka Moro 3,5kg i Tarocco 8kg) 11,5kg	128zł		0zł		
Cubotto cytryn BIO 12kg	140zł		0zł		
Cubotto mieszanych warzyw BIO BOX 7kg	180zł	1	180zł		
Cubotto awokado Hass BIO 12kg	224zł		0zł		
Cubotto cukinii BIO 8kg	142zł		0zł		
Cubotto karczochów 30szt. BIO 6kg	210zł		0zł		
Cubotto kopru włoskiego BIO 9kg	150zł		0zł		
Cubotto papryki BIO 6kg	147zł		0zł		
Cubotto pomidorów Cherry BIO 10kg	205zł		0zł		
Cubotto pomidorów daktylowych BIO (24x250g) 6kg	205zł		0zł		
Cubotto pomidorów Grappolo BIO 9kg	185zł		0zł		
Cubotto pomidorów Allungato 9kg	176zł		0zł		
Kumkwat (plastikowy pojemnik) BIO 250g	15zł		0zł		
Siatka awokado Hass BIO 2kg	42zł		0zł		
Siatka cytryn BIO 2kg	27zł		0zł		
Siatka gorzkiej pomarańczy BIO 2kg	31zł		0zł		
Siatka mandarynek Ciaculli BIO 2kg	29zł		0zł		
Siatka pomarańczy Moro BIO 3,5kg	41zł	1	41zł		
SYCYLIA delikatesy (na szt)	cena szt				
Suszone pomidory "Ciappa" 500g BIO	27,8zł		0zł		
Suszone pomidory Cherry 250g BIO	29zł		0zł		
Oliwki w solance 300g	35zł		0zł		
Karczochy w zalewie 720g	37zł		0zł		
Ser krowi , świeża Provola min.750g	45zł	1	45zł		
Ser krowi Caciotta fresca z oliwkami min. 820g	46zł		0zł		
Ser krowi Caciotta fresca z pistacjami min.820g	46zł		0zł		
Ser krowi Caciotta fresca z rukolą i ostrą papryczką min.820g	46zł		0zł		
Ser krowi Fiore sicano 600g	67zł		0zł		
Ser krowi Ragusano DOP dojrzewający 500g	45zł		0zł		
Ser krowi Tuma persa 500g	59zł		0zł		
Ser owczy Pecorino Siciliano DOP dojrzewający 500g	47,5zł		0zł		
Baleron wieprzowy z czarnej, sycylijskiej świni 400g	140zł		0zł		
Pikantny, boczek wieprzowy z czarnej, sycylijskiej świni 400g	69zł		0zł		
Prosciutto crudo bez kości 3kg	970zł		0zł		
Salami wieprzowe z czarnej, sycylijskiej świni min. 400g	59zł		0zł		
Słonina wieprzowa, z czarnej, sycylijskiej świni 400g	49,5zł		0zł		
Boczek zawijany z czarnej sycylijskiej świni 400g	61zł		0zł		
Boczek z czarnej sycylijskiej świni 500g	86zł		0zł		
Polędwica wieprzowa z czarnej sycylijskiej świni 350g	163zł		0zł		
Cząber suszony 15g	18zł		0zł		
Dziki koper włoski 20g	22zł		0zł		
Tymianek suszony 20g	18zł		0zł		
Kapary w soli morskiej 110g	21zł		0zł		
Liść laurowy suszony 10g	18zł		0zł		
Majeranek suszony 10g	18zł		0zł		
Nasiona dzikiego kopru włoskiego 50g	18zł		0zł		
Oregano suszone 20g	18zł		0zł		
Ostra papryczka 50g	19zł		0zł		
Rozmaryn suszony 20g	21zł		0zł		
Ziarna kolendry 30g	18zł		0zł		
Sól aromatyzowana Val Demone 100g	23zł		0zł		
Sól aromatyzowana Val di Mazara 100g	23zł		0zł		
Sól aromatyzowana Val di Noto 100g	23zł		0zł		
Sól cytrynowa 110g	27zł		0zł		
Sól pomarańczowa 110g	27zł		0zł		
Dżem z czerwonych pomarańcz Tarocco 350g	28,5zł		0zł		
Dżem z gorzkiej pomarańczy 350g	28zł		0zł		
Dżem z mandarynek 350g	29zł		0zł		
Galaretka z soku mandarynek Kami 350g	28,9zł		0zł		
Galaretka różana z miodem z kwiatu pomarańczy 240g	28,9zł		0zł		
Galaretka z czerwonego octu winnego 240g	23zł		0zł		
Galaretka z wina Malvasia z miodem wielokwiatowym 240g	34,6zł		0zł		
Galaretka z wina Marsala z miodem i gorzką czekoladą 240g	34,6zł		0zł		
Galaretka z wina Nero d'Avola z miodem i cynamonem 240g	28,8zł		0zł		
Konfitura z czarnej morwy z miodem 350g	37,8zł		0zł		
Konfitura z dzikich jeżyn z miodem i winem Malviasia 350g	37,8zł		0zł		
Konfitura z jabłek Cola z miodem i wanilią 350g	29zł		0zł		
Konfitura z jabłek Delizia z miodem i cynamonem 350g	28,5zł		0zł		
Konfitura z moreli z miodem z kwiatu pomarańczy i Zibibbo 350g	29zł		0zł		
Konfitura z opuncji figowej z miodem i orzeszkami piniowymi 350g	30zł		0zł		
Konfitura z papryki z miodem i selerem naciowym 240g	23,5zł		0zł		
Konfitura z pomidorów z miodem i bazylią 240g	23zł		0zł		
Konfitura z truskawek z Maletto z miodem 350g	33,5zł		0zł		
Konfitura ze śliwek z gorzką czekoladą 350g	26,8zł		0zł		
Makaroniki z migdałów BIO 1kg	114zł		0zł		
Makaroniki z migdałów, cytrynowe BIO 1kg	114zł		0zł		
Makaroniki z migdałów, pomarańczowe BIO 1kg	114zł		0zł		
Migdały łuskane BIO 1kg	115zł		0zł		
Migdały łuskane BIO 200g	25,5zł		0zł		
Migdały łuskane, prażone BIO 100g	15,5zł		0zł		
Migdały naturalne BIO 1kg	106zł		0zł		
Migdały naturalne BIO 200g	25,5zł		0zł		
Migdały prażone, słone BIO 100g	15,5zł	3	47zł		
Preparat na mleko migdałowe BIO 200g	23zł		0zł		
Słodki krem z orzechów z miodem 190g	30,5zł		0zł		
Słodki krem z migdałów z miodem 190g	30,5zł		0zł		
Miód z karobu 250g	39,5zł		0zł		
Miód z kwiatu jeżyny 500g	27,5zł		0zł		
Miód z kwiatu opuncji figowej 500g	56zł		0zł		
Miód z kwiatu pomarańczy 700g	35zł		0zł		
Miód z kwitów kopru 500g	29zł		0zł		
Mydło z oliwy z oliwek naturalne 100g	16zł		0zł		
Mydło z oliwy z oliwek z aromatem cytryny 100g	20zł		0zł		
Mydło z oliwy z oliwek z aromatem pomarańczy 100g	20zł		0zł		
ŚWIEŻY MAKARON (min 8 szt)		10			
domory makaron rosołowy (semolina, jaja)	5zł	1	5zł		
casarecce (semolina, woda)	5zł		0zł		
penne jajeczne (semolina, jaja)	5zł	2	10zł		
gnochetti/małe muszelki jajeczne (semolina, woda)	5zł	1	5zł		
tagliatelle jajeczne (semolina, jaja)	5zł	2	10zł		
tagliatelle razowe (semolina z pełnego przemiału, woda)	5zł	2	10zł		
spaghetti jajeczne (semolina, jaja)	5zł	1	5zł		
spaghetti pomidory (semolina, jaja, pomidory)	6zł	1	6zł		
tagliatelle cytrynowe (semolina, jaja, skórka cytrynowa)	6zł		0zł		
tagliatelle czarne (semolina, jaja, sepia mątwy)	8zł		0zł		
tagliatelle czekoladowe (semolina, jaja, kakao)	6zł		0zł		
GRECJA (min 8 szt)		9			
Oliwa od Chłopa, zbiór styczeń 2015, karafka 500ml	37zł		0zł		
Oliwa Sitia 0.1l, puszka	40zł		0zł		
Oliwa Kropla Krety, zbiór grudzień 2014, puszka 5l	126zł		0zł		
Oliwa Extra Virgin z chili, 250ml	19zł		0zł		
Oliwa Extra Virgin z cytryną, 250ml	19zł		0zł		
Oliwki Kalamata (z pestką), 1kg	26zł		0zł		
Ocet balsamiczny Kamalata (ciemny), 500ml	21		0zł		
Ocet balsamiczny Kamalata (jasny), 500ml	21zł		0zł		
Krem balsamiczny Kalamata (ciemny), 250ml	12zł		0zł		
Krem balsamiczny Kalamata figowy (ciemny), 250ml	13zł		0zł		
Krem balsamiczny Kalamata (jasny), 250ml	12zł		0zł		
Tahini naturalne, 900g	36zł		0zł		
Tahini naturalne, 300g (szklany słoik)	17zł		0zł		
Tahini kakaowe, 350g (szklany słoik)	17zł		0zł		
Tahini z pomarańczą, 350g (szklany słoik)	17zł		0zł		
Chałwa macedońska waniliowa, 100g	7zł	2	14zł		
Chałwa macedońska waniliowa, 400g	20zł		0zł		
Chałwa macedońska waniliowa, 1kg	44zł		0zł		
Chałwa macedońska z migdałami, 100g	7zł	2	14zł		
Chałwa macedońska z gorzką czekoladą, 400g	21zł	1	21zł		
Chałwa macedońska z pistacjami, 400g	24zł	1	24zł		
Chałwa macedońska z migdałami, 400g	23zł		0zł		
Chałwa macedońska z migdałami, 1kg	47zł		0zł		
Pasta z suszonych pomidorów 160g	15zł		0zł		
Pasta z oliwek Kalamata, 350g	19zł		0zł		
Sos pomidorowo-pomarańczowy, 380g	16zł		0zł		
Sos pomidorowy z oliwkami i ouzo, 380g	16zł		0zł		
Sos pomidorowy z bazylią, 380g	16zł	1	16zł		
Sos pomidorowy z chilli (pikantny), 380g	16zł		0zł		
Sos pomidorowy z octem balsamicznym i papryką, 380g	16zł	1	16zł		
Sos pomidorowy z suszonymi pomidorami i ouzo, 380g	16zł		0zł		
Stewia, naturalny słodzik, 250g	20zł		0zł		
Mydło oliwne, naturalne, 220g	16zł		0zł		
Dżem czekoladowo-pomarańczowy, 380g	20zł		0zł		
Dżem owoce leśne z miodem, 380g	19zł	1	19zł		
Dżem czekoladowo-truskawkowy, 380g	20zł		0zł		
Dżem malinowy z ouzo, 380g	19zł		0zł		
Ciasto filo (schłodzone, nie mrożone), 470g	13zł		0zł		
Karob (proszek, substytut kakao), 500g	11zł		0zł		
Karob (kawa), 350g	18zł		0zł		
Karob (melasa), 350g	16zł		0zł		
DRÓB ekologiczny  (na sztuki)			0zł		
Kurczak ekologiczny 2 kg	60zł		0zł		
Kapłon ekologiczny 2,5kg	110zł		0zł		
Perliczka ekologiczna 2 kg	70zł		0zł		
Kogut ekologiczny 2,5 kg	85zł		0zł		
Wędliny (skomponuj zestaw z min 5 produktów)					
Szynka ziołowa 0,5kg	16zł	1	16zł		
schab wędzony 0,8kg	25zł	1	25zł		
boczek pieczony w wędzarni 0,6kg	17zł	1	17zł		
kiełbasa swojska 0,6kg	17zł	1	17zł		
pasztet pieczony indyk 0,23kg	6zł		0zł		
kabanosy wieprzowe 0,5kg	17zł		0zł		
Szynka z indyka 0,5kg	17zł	3	51zł		
parówka wiedeńska wieprzowa 0.5kg	14zł	2	28zł		
pasztetowa 0,40kg	6zł		0zł		
kaszanka 0,8 kg	12zł		0zł		
salceson 0,7kg	12zł		0zł		
RAJMAN - rarytasy z jabłek (min 2 sztuki)					
Jabłkowy Krem słodki 200ml	23zł		0zł		
Jabłkowy Krem wytrawny 200ml	23zł		0zł		
Jabłkowa Konfitura słodka 200ml	23zł		0zł		
Jabłkowe Powidła słodkie 200ml	23zł		0zł		
Jabłkowe Powidła wytrawne 200ml	23zł		0zł		
Jabłowy Syrop 375ml	42zł		0zł		
Jabłkowy Ocet 375ml	22zł		0zł		
Krem morelowy 320g	15zł		0zł		
Krem brzoskwiniowy 320g	15zł		0zł		
Krem jabłkowy 320g	15zł		0zł		
Mus z rokitnika 520g	46zł		0zł		
MIODY z rodzinnej  pasieki (min 5 słoików)					
Rzepakowy 400g	13zł		0zł		
Rzepakowy 650g	17zł		0zł		
Wielokwiatowy 400g	14zł		0zł		
Wielokwiatowy 650g	19zł		0zł		
Mniszkowy 400g	15zł		0zł		
Mniszkowy 650g	20zł		0zł		
NOWOŚĆ! Lipowy kremowany 400g	15zł		0zł		
NOWOŚĆ! Lipowy kremowany 650g	20zł		0zł		
Gryczany 400g	15zł		0zł		
Gryczany 650g	22zł		0zł		
Gryczano - Malinowy 400g	15zł		0zł		
Gryczano - Malinowy 650g	22zł		0zł		
Nawłociowy 400g	15zł		0zł		
Nawłociowy 650g	20zł		0zł		
Spadziowy z Jodły 400g	22zł		0zł		
Spadziowy z Jodły 650g	32zł		0zł		
Z Cynamonem 400g	17zł		0zł		
Z Kardamonem 400g	17zł		0zł		
Z Propolisem 400g	21zł		0zł		
Pierzga w miodzie 350g	27zł		0zł		
Miód z plastrem 650g	25zł		0zł		
